id	rate
01001	33.7696573
01003	19.3184726
01005	20.84097171
01007	4.559752683
01009	2.700840095
01011	37.47465226
01013	6.243470213
01015	26.06108574
01017	19.72296719
01019	0.305553252
01021	3.337712557
01023	18.84879045
01025	19.58990819
01027	5.331407536
01029	0.980921025
01031	22.81436775
01033	17.49017262
01035	28.16587217
01037	24.58828961
01039	8.828653377
01041	38.71628362
01043	7.829499986
01045	27.55559062
01047	17.7672232
01049	3.768654688
01051	18.9293027
01053	13.54081837
01055	23.72804055
01057	2.537624813
01059	9.695227066
01061	2.262027074
01063	36.33515715
01065	0.552759256
01067	2.232764366
01069	21.07824739
01071	9.121428088
01073	31.78014638
01075	0.634317065
01077	15.73061247
01079	3.929754751
01081	31.22691212
01083	12.24596772
01085	48.70078709
01087	34.98838683
01089	32.86992604
01091	26.57055501
01093	1.748411426
01095	13.77539769
01097	27.30648439
01099	30.99115176
01101	28.01663708
01103	11.72455584
01105	9.174419598
01107	4.311914592
01109	11.34627515
01111	4.630858868
01113	16.07600463
01115	4.478454797
01117	26.66202209
01119	16.15766189
01121	15.01058377
01123	11.04844935
01125	20.28114089
01127	11.23459251
01129	9.716742409
01131	44.32922518
01133	4.130307166
02013	39.03376221
02016	13.74710627
02020	30.14785441
02050	78.01478363
02060	43.54489164
02068	100.0000007
02070	32.56828352
02090	37.14763806
02100	20.70317871
02105	78.8333137
02110	32.41617287
02122	20.37849871
02130	7.68772136
02150	10.41539951
02158	99.9999996
02164	22.96278229
02170	53.37196625
02180	38.4796783
02185	57.45496574
02188	4.805863212
02195	25.01492516
02198	18.21093133
02220	0.309912579
02230	29.06925794
02240	27.95429569
02261	66.430852
02275	21.55442949
02282	0.380989836
02290	99.99999992
04001	65.36370909
04003	39.30480671
04005	30.2461549
04007	23.90305272
04009	31.33398516
04011	70.60939238
04012	43.32992469
04013	12.89667448
04015	44.14569892
04017	33.10885023
04019	23.68835458
04021	17.34842335
04023	27.52490419
04025	33.2874608
04027	22.35112788
05001	22.07058415
05003	19.86708612
05005	11.99581779
05007	19.69439445
05009	30.01057894
05011	10.9022319
05013	65.34407711
05015	8.595425926
05017	5.098911596
05019	9.14315047
05021	10.4184871
05023	13.65534521
05025	24.50199472
05027	17.94562472
05029	21.16140836
05031	25.01992385
05033	21.10029818
05035	12.02525227
05037	16.49207295
05039	18.80702234
05041	30.21340131
05043	19.04793434
05045	25.3354439
05047	10.44710184
05049	18.94785192
05051	31.5152154
05053	11.87738791
05055	22.0622799
05057	24.48189867
05059	18.28689403
05061	14.70633792
05063	18.68287629
05065	5.915955073
05067	13.79417844
05069	17.02871569
05071	9.079602613
05073	21.10786747
05075	25.2468503
05077	31.42302305
05079	34.33329472
05081	6.553645475
05083	13.75091609
05085	19.04327361
05087	26.10979767
05089	13.54336579
05091	25.25013973
05093	12.9129579
05095	12.5199122
05097	23.55457289
05099	26.38365578
05101	35.2911202
05103	28.13439925
05105	10.60318096
05107	36.96119237
05109	19.49343402
05111	11.37709652
05113	36.84237776
05115	14.15994725
05117	6.140059081
05119	30.56268833
05121	30.66436697
05123	30.2447463
05125	22.42279639
05127	17.84182615
05129	33.26074963
05131	14.30455514
05133	33.93474541
05135	20.67817836
05137	24.49120092
05139	21.69830182
05141	12.85578557
05143	19.91554346
05145	14.30292762
05147	5.328619575
05149	7.529794906
06001	10.62225976
06003	55.54007958
06005	12.49745794
06007	22.15873432
06009	8.572989522
06011	8.268281955
06013	19.63936397
06015	27.10749168
06017	27.92789125
06019	12.21254977
06021	12.91099104
06023	16.3258577
06025	16.14699528
06027	41.13536733
06029	15.25257904
06031	21.39694941
06033	17.60234522
06035	48.30437547
06037	6.24792472
06039	19.82276297
06041	16.40030773
06043	17.29098374
06045	18.00113562
06047	14.30604459
06049	35.75302967
06051	47.97131742
06053	11.91203993
06055	14.14266699
06057	23.93614616
06059	7.327899242
06061	15.2128237
